Premises Name,Certification Service Type,Service Types,Total Beds,Premises Website,Premises Address Other, Premises Address, Premises Address Suburb/Road, Premises Address Town/City, Premises Address Post Code, DHB Name,Certificate Name,Certification Period (Months),Certificate/License End Date,Current Auditor,Legal Name,Legal Entity Address Other, Legal Entity Address, Legal Entity Address Suburb/Road, Legal Entity Address Town/City, Legal Entity Address Post Code, Legal Entity Postal Address, Legal Entity Postal Address Suburb/Road, Legal Entity Postal Address Town/City, Legal Entity Postal Address Post Code, Legal Entity Website,
Franklin Private Hospital,NGO Hospital,Surgical,15,https://www.Franklinhospital.co.nz,level 1,12 Glasgow Road,,Pukekohe,2120,Counties Manukau District Health Board,Franklin Private Hospital Limited - Franklin Private Hospital,36,8-8-2028,The DAA Group Limited,Franklin Private Hospital Limited,,12 Glasgow Road,,Pukekohe,2120,PO Box 428,,Pukekohe,2340,,
Gore Health Limited,NGO Hospital,"Maternity, Medical",20,,,9 Birch Lane,,Gore,9710,Southern District Health Board,Gore Health Limited - Gore Health Limited,36,15-9-2028,Central Region's Technical Advisory Services Limited,Gore Health Limited,,9 Birch Lane,,Gore,9710,PO Box 274,,Gore,9740,,
Harbour Hospice North Shore,NGO Hospital,Medical,15,,In patient unit,7 Shea Terrace,Takapuna,Auckland,0622,Waitemata District Health Board,Harbour Hospice Trust - Harbour Hospice North Shore,48,2-9-2029,Central Region's Technical Advisory Services Limited,Harbour Hospice Trust,,7 Shea Terrace,,Auckland,0622,PO Box 331129,,Auckland,0740,,
Hibiscus Hospice,NGO Hospital,Medical,6,,,2A John Dee Crescent,,Red Beach,0932,Waitemata District Health Board,Harbour Hospice Trust - Hibiscus Hospice,36,23-9-2027,Central Region's Technical Advisory Services Limited,Harbour Hospice Trust,,7 Shea Terrace,,Auckland,0622,PO Box 331129,,Auckland,0740,,
Helensville Birthing Centre,NGO Hospital,Maternity,5,,,53 Commercial Road,,Helensville,0800,Waitemata District Health Board,Helensville Birthing Centre Limited - Helensville Birthing Centre,48,6-12-2028,BSI Group New Zealand Ltd,Helensville Birthing Centre Limited,,53 Commercial Road,,Helensville,0800,PO Box 13,,Helensville,0840,,
Hospice Southland,NGO Hospital,Medical,8,https://www.hospicesouthland.org.nz,Gate 4,75 Kew Road,Kew,Invercargill,9812,Southern District Health Board,Hospice Southland Charitable Trust - Hospice Southland,No change,6-12-2025,Central Region's Technical Advisory Services Limited,Hospice Southland Charitable Trust,,75 Kew Road,,Invercargill,9812,PO Box 7020,,Invercargill,9844,,
Te Rangimarie Hospice,NGO Hospital,Medical,5,,,5 David Street,Westown,New Plymouth,4310,Taranaki District Health Board,Hospice Taranaki Incorporated - Te Rangimarie Hospice,48,10-7-2029,Central Region's Technical Advisory Services Limited,Hospice Taranaki Incorporated,,5 David Street,,New Plymouth,4310,PO Box 5122,,New Plymouth,4343,,
Hospice Whanganui,NGO Hospital,Medical,5,,,78 Virginia Road,Otamatea,Whanganui,4500,Whanganui District Health Board,Hospice Whanganui - Hospice Whanganui,36,22-9-2027,The DAA Group Limited,Hospice Whanganui,,78 Virginia Road,,Wanganui,4500,PO Box 4284,,Wanganui,4541,,
Kakariki Hospital Limited,NGO Hospital,Surgical,20,https://www.kakarikihospital.co.nz/,"Floors 2,3 & 4",9 Marewa Road,Greenlane,Auckland,1051,Auckland District Health Board,Kakariki Hospital Limited - Kakariki Hospital Limited,36,25-3-2028,The DAA Group Limited,Kakariki Hospital Limited,,9-15 Marewa Road,,Auckland,1051,27 Gillies Avenue Level 6,,Auckland,1023,https://www.kakarikihospital.co.nz/,
Kaweka Hospital,NGO Hospital,"Medical, Surgical",31,https://www.kawekahealth.nz/,,209 Canning Road,Camberley,Hastings,4120,Hawke's Bay District Health Board,Kaweka Health Limited - Kaweka Hospital,No change,12-7-2026,The DAA Group Limited,Kaweka Health Limited,,209 Canning Road,,Hastings,4120,PO Box 243,,Hastings,4156,https://www.kawekahealth.nz/,
Kensington Hospital,NGO Hospital,Surgical,21,http://www.kensingtonhospital.co.nz/,,12 Kensington Avenue,Kensington,Whangarei,0112,Northland District Health Board,Kensington Hospital Limited - Kensington Hospital,36,23-6-2028,BSI Group New Zealand Ltd,Kensington Hospital Limited,,12 Kensington Avenue,,Whangarei,0112,PO Box 8122,,Whangarei,0145,,
